"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"Scotti Riso Arborio 5 kg x2","Scotti Riso Arborio","5 kg","2","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__1_.png"
"Scotti Riso Basmati 1 kg x 10","Scotti Riso Basmati","1 kg","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__3_.png"
"Scotti Riso Carnaroli 5 kg x2","Scotti Riso Carnaroli","5 kg","2","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__5_.png"
"Scotti ARROZ RISOTTO 5KG X2","Scotti ARROZ RISOTTO","5KG","2","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001.jpg"
"Scotti ARROZ VENERE NEGRO 1KG X 10","Scotti ARROZ VENERE NEGRO","1KG","10","El arroz integral italiano con un inconfundible color negro violáceo natural y un característico aroma a pan recién horneado y nueces.","RISO SCOTTI SPA","arroces especializados","extracted_images/arroz venere Scotti_0.jpeg"
"Scotti Riso Arborio 500 gr x 12","Scotti Riso Arborio","500 gr","12","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__2_.png"
"Scotti Riso Arborio 1 kg x 10","Scotti Riso Arborio","1 kg","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__1_.jpg"
"Scotti Riso Basmati 500 gr x 12","Scotti Riso Basmati","500 gr","12","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/Scotti_Riso_Basmati_1_kg_x_10.jpeg"
"Scotti Riso thai Jasmine 500 gr x 12","Scotti Riso thai Jasmine","500 gr","12","","RISO SCOTTI SPA","arroces especializados","extracted_images/Jasmine rice 500g_0.jpg"
"Scotti Riso carnaroli 500 gr x 12","Scotti Riso carnaroli","500 gr","12","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__4_.png"
"Scotti Riso carnaroli 1kg x 10","Scotti Riso carnaroli","1kg","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001__2_.jpg"
"Scotti arroz a la parmesana 210g x 10","Scotti arroz a la parmesana","210g","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/Risotto parmesana_0.jpg"
"Scotti arroz con hongos porcini 210 g x 10","Scotti arroz con hongos porcini","210 g","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image002.png"
"Scotti arroz arborio con trufas 210 g x 10","Scotti arroz arborio con trufas","210 g","10","","RISO SCOTTI SPA","arroces especializados","extracted_images/user_upload/image001.png"
"GR. Gnocchi de papas g500x 12","GR. Gnocchi de papas g500x 12","","","","Pastificio Attilio Mastromauro srl","gnochi de papas","extracted_images/FOTO PASTAS_25.jpeg"
"DI BIASE HONGOS PORCINOS SECOS 450 gr","DI BIASE HONGOS PORCINOS SECOS","450 gr","","","FUNGHI DI BISE SRL ","Hongos porcini","extracted_images/funghi porcini di biase_0.jpeg"
"DI BIASE PINOLI (PINONES )","DI BIASE PINOLI (PINONES )","","","","FUNGHI DI BISE SRL ","Pinones","extracted_images/user_upload/image001__4_.jpg"
"Di Biase omates secos 1 kg","Di Biase omates secos","1 kg","","","FUNGHI DI BISE SRL ","Tomaes secos ","extracted_images/user_upload/image001__7_.jpg"
"Bonomi amaretti 200g x 15","Bonomi amaretti","200g","15","","BONOMI SPA","galletas","extracted_images/bonomi amaretti_0.png"
"Bonomi savoiardy 500 gr x 10","Bonomi savoiardy","500 gr","10","","BONOMI SPA","galletas","extracted_images/foto bonomi_0.png"
"Bonomi savoiardy 200 gr x 15","Bonomi savoiardy","200 gr","15","","BONOMI SPA","galletas","extracted_images/foto bonomi_0.png"
"Am vinagre balsamico de Modena 500 ML X 12","Am vinagre balsamico de Modena","500 ML","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/FOTO-VINAGRE.jpg"
"Am vinagre balsamico de Modena 5 LITROS X 2","Am vinagre balsamico de Modena 5 LITROS","","2","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/PFB20PE500002AMEU (1).png"
"Am GLAZA BALSAMICA 500 ML X12","Am GLAZA BALSAMICA","500 ML","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/PFSBKOG025012AMEU.png"
"Am vinagre balsamico de Modena1 LITRO X 12","Am vinagre balsamico de Modena1 LITRO","","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/PFB20EU100012AMEU.png"
"Am vinagre de manzana organico with mother 500 ml x 6","Am vinagre de manzana organico with mother","500 ml","6","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/ACETO DI MELE BIO DETO 500 ML.png"
"Am vinagre de manzana organico with mother 1 l x 12","Am vinagre de manzana organico with mother 1 l","","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/FOTO-VINAGRE.jpg"
"Am vinagre de manzana regular 500 ml x 12","Am vinagre de manzana regular","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/user_upload/Am_vinagre_de_manzana_regular_500_ml_x_12.png"
"Am vinagre de coco biologico no filtrado 500 ml x 6","Am vinagre de coco biologico no filtrado","500 ml","6","aderezo saludable y nutritivo en la cocina, rico en probióticos, minerales y ácido acético. Se utiliza para ayudar a controlar los niveles de azúcar en sangre, favorecer la pérdida de peso al reducir el apetito, mejorar la digestión y fortalecer el sistema inmunológico.","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/user_upload/Am_vinagre_de_coco_biologico_no_filtrado_500_ml_x_6.png"
"Am vinagre de vino blanco 500 ml x 12","Am vinagre de vino blanco","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","extracted_images/user_upload/WhatsApp_Image_2026-05-21_at_17.39.35.jpeg"
