"Producto","Producto_Base","Presentacion","Unidades_por_Caja","Descripción","Proveedor","Categoria","Imagenes"
"Scotti Riso Arborio 5 kg x2","Scotti Riso Arborio","5 kg","2","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso Basmati 1 kg x 10","Scotti Riso Basmati","1 kg","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso Carnaroli 5 kg x2","Scotti Riso Carnaroli","5 kg","2","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti ARROZ RISOTTO 5KG X2","Scotti ARROZ RISOTTO","5KG","2","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti ARROZ VENERE NEGRO 1KG X 10","Scotti ARROZ VENERE NEGRO","1KG","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso Arborio 500 gr x 12","Scotti Riso Arborio","500 gr","12","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso Arborio 1 kg x 10","Scotti Riso Arborio","1 kg","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso Basmati 500 gr x 12","Scotti Riso Basmati","500 gr","12","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso thai Jasmine 500 gr x 12","Scotti Riso thai Jasmine","500 gr","12","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso carnaroli 500 gr x 12","Scotti Riso carnaroli","500 gr","12","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti Riso carnaroli 1kg x 10","Scotti Riso carnaroli","1kg","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti arroz a la parmesana 210g x 10","Scotti arroz a la parmesana","210g","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti arroz con hongos porcini 210 g x 10","Scotti arroz con hongos porcini","210 g","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"Scotti arroz arborio con trufas 210 g x 10","Scotti arroz arborio con trufas","210 g","10","","RISO SCOTTI SPA","arroces especializados","FALSE"
"GR. Gnocchi de papas g500x 12","GR. Gnocchi de papas g500x 12","","","","Pastificio Attilio Mastromauro srl","gnochi de papas","FALSE"
"DI BIASE HONGOS PORCINOS SECOS 450 gr","DI BIASE HONGOS PORCINOS SECOS","450 gr","","","FUNGHI DI BISE SRL ","Hongos porcini","FALSE"
"DI BIASE PINOLI (PINONES )","DI BIASE PINOLI (PINONES )","","","","FUNGHI DI BISE SRL ","Pinones","FALSE"
"Di Biase omates secos 1 kg","Di Biase omates secos","1 kg","","","FUNGHI DI BISE SRL ","Tomaes secos ","FALSE"
"Bonomi amaretti 200g x 15","Bonomi amaretti","200g","15","","BONOMI SPA","galletas","FALSE"
"Bonomi savoiardy 500 gr x 10","Bonomi savoiardy","500 gr","10","","BONOMI SPA","galletas","FALSE"
"Bonomi savoiardy 200 gr x 15","Bonomi savoiardy","200 gr","15","","BONOMI SPA","galletas","FALSE"
"Am vinagre balsamico de Modena 500 ML X 12","Am vinagre balsamico de Modena","500 ML","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre balsamico de Modena 5 LITROS X 2","Am vinagre balsamico de Modena 5 LITROS","","2","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am GLAZA BALSAMICA 500 ML X12","Am GLAZA BALSAMICA","500 ML","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre balsamico de Modena1 LITRO X 12","Am vinagre balsamico de Modena1 LITRO","","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de manzana organico with mother 500 ml x 6","Am vinagre de manzana organico with mother","500 ml","6","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de manzana organico with mother 1 l x 12","Am vinagre de manzana organico with mother 1 l","","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de manzana regular 500 ml x 12","Am vinagre de manzana regular","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de coco biologico no filtrado 500 ml x 6","Am vinagre de coco biologico no filtrado","500 ml","6","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de vino blanco 500 ml x 12","Am vinagre de vino blanco","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de vino blanco 1 lit x 12","Am vinagre de vino blanco 1 lit","","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Am vinagre de vino tino 500 ml x 12","Am vinagre de vino tino","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"Villa Vittorua vinagre balsamico blanco 500 ml x 12","Villa Vittorua vinagre balsamico blanco","500 ml","12","","ACETIFICIO ANDREA MILANO","vinagres","FALSE"
"LATTERIA SORESINA GRANA PADANO FORMA ENTERA","LATTERIA SORESINA GRANA PADANO FORMA ENTERA","","","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA GRANA FORCELLO 4KG X 2","LATTERIA SORESINA GRANA FORCELLO","4KG","2","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA PADANO 1/8 ( 8 libras)","LATTERIA SORESINA PADANO 1/8 ( 8 libras)","","","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA PADANO 1/16 ( 4 libras)","LATTERIA SORESINA PADANO 1/16 ( 4 libras)","","","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA GRANA PADANO 200G x 15","LATTERIA GRANA PADANO","200G","15","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA QUESO PECORINO ROMANO 250 GR X 15","LATTERIA SORESINA QUESO PECORINO ROMANO","250 GR","15","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA PARMEGGIANO REGGIANO 200GR x 15","LATTERIA SORESINA PARMEGGIANO REGGIANO","200GR","15","","LATTERIA SORESINA ","quesos","FALSE"
"LATTERIA SORESINA PROVOLONE DULCE ENTERO 6KG","LATTERIA SORESINA PROVOLONE DULCE ENTERO","6KG","","","LATTERIA SORESINA ","quesos","FALSE"
"GR. TAGLIATELLE LARGO / FETTUCINI g500x24","GR. TAGLIATELLE LARGO / FETTUCINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. LINGUINE DI PASSERO g500x24","GR. LINGUINE DI PASSERO g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. LINGUINE g500x24","GR. LINGUINE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. BUCATINI g500x24","GR. BUCATINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. SPAGHETTI VERMICELLI g500x24","GR. SPAGHETTI VERMICELLI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. SPAGHETTI VERMICELLONI g500x24","GR. SPAGHETTI VERMICELLONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. SPAGHETTI RISTORANTI g500x24","GR. SPAGHETTI RISTORANTI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. SPAGHETTINI g500x30","GR. SPAGHETTINI g500x30","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. CAPELLINI g500x24","GR. CAPELLINI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. RIGATONI g500x24","GR. RIGATONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. MEZZI RIGATONI g500x24","GR. MEZZI RIGATONI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. PENNE RIGATE g500x24","GR. PENNE RIGATE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. MEZZE PENNE RIGATE g500x24","GR. MEZZE PENNE RIGATE g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. GNOCCHI g500x24","GR. GNOCCHI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. GOMITI g500x24","GR. GOMITI g500x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. ROSMARINO g500x24 ( PASTA ORZO )","GR. ROSMARINO g500x24 ( PASTA ORZO )","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. CONCHIGLIONI g500x12","GR. CONCHIGLIONI g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. PACCHERI g500x12","GR. PACCHERI g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. CANNELLONI g250x24","GR. CANNELLONI g250x24","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. TAGLIATELLE UOVO g500x12","GR. TAGLIATELLE UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. TAGLIOLINI UOVO g500x12","GR. TAGLIOLINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. FETTUCCINI UOVO g500x12","GR. FETTUCCINI UOVO g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR.NIDI PAPARDELLE SEMOLAg500x12","GR.NIDI PAPARDELLE SEMOLAg500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. PAPARDELLE UOVOg500x12","GR. PAPARDELLE UOVOg500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. LASAGNA SEMOLA g500x12","GR. LASAGNA SEMOLA g500x12","","","","Pastificio Attilio Mastromauro srl","pastas",""
"GR. COUS COUS KG.1X10","GR. COUS COUS KG.1X10","","","","Pastificio Attilio Mastromauro srl","Cous cous",""
"GR.SPAGHETTI INTEGRAL 500 GR X 20","GR.SPAGHETTI INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","Pastas integrales",""
"GR.PENNE INTEGRAL 500 GR X 20","GR.PENNE INTEGRAL","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas integrales",""
"GR SPAGHETTI  DONNA CHIARA 500 GR X 24","GR SPAGHETTI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR PENNE RIGATE DONNA CHIARA 500 GR X 24","GR PENNE RIGATE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR LINGUINI DONNA CHIARA 500GR X 24","GR LINGUINI DONNA CHIARA","500GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR FUSILLI  DONNA CHIARA 500 GR X 24","GR FUSILLI DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR CODITOS  DONNA CHIARA 500 GR X 24","GR CODITOS DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR NIDI FETT DONNA CHIARA 500 GR X 24","GR NIDI FETT DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR FARFALLE DONNA CHIARA 500 GR X 24","GR FARFALLE DONNA CHIARA","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas",""
"GR RIGATONI TRAFILADO AL BRONZO 500 GR X 24","GR RIGATONI TRAFILADO AL BRONZO","500 GR","24","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR SPAGHETTI TRAFILADO AL BRONZO 500 GR X 20","GR SPAGHETTI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR PENNE RIGATE TRAFILADO AL BRONZO 500 GR X 20","GR PENNE RIGATE TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR LINGUINI TRAFILADO AL BRONZO 500GR X 20","GR LINGUINI TRAFILADO AL BRONZO","500GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR FUSILLI TRAFILADO AL BRONZO 500 GR X 20","GR FUSILLI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR CASERECCIA TRAFILADA AL BRONZO 500 GR X 20","GR CASERECCIA TRAFILADA AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR RIGATONI  TRAFILADO AL BRONZO 500 GR X 20","GR RIGATONI TRAFILADO AL BRONZO","500 GR","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO  500 GR X 12","GR NIDI PAPPARDELLE SEMOLA TRAFILADO AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR ORECHIETTE  TRAFILADO AL BRONZO500 GR X 20","GR ORECHIETTE TRAFILADO AL BRONZO500 GR","","20","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR CALAMARI TRILADA AL BRONZO 500 GR X 12","GR CALAMARI TRILADA AL BRONZO","500 GR","12","","Pastificio Attilio Mastromauro srl","pastas trafiladas al bronzo",""
"GR SPAGHETTI GLUTEN FREE 400 GR X 12","GR SPAGHETTI GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR PENNE GLUTEN FREE  400 GR X 12","GR PENNE GLUTEN FREE","400 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR FUSILLI GLUTEN FREE400 GR X 12","GR FUSILLI GLUTEN FREE400 GR","","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR LASAGNA GLUTEN FREE 250 GR X 12","GR LASAGNA GLUTEN FREE","250 GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
"GR GNOCHI DE PAPAS GLUTEN FREE 500GR X 12","GR GNOCHI DE PAPAS GLUTEN FREE","500GR","12","","Pastificio Attilio Mastromauro srl","pastas sin gluten",""
